config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_011,5,UKCHLL021,100,,50,sqrt,0.12244845051358462,0.9329054372350185,0.9666609206325352,0.6740049361270462
config_011,5,UKCHLL023,100,,50,sqrt,0.1042710038021533,0.918343555297449,0.35912751863666986,0.4605806925787574
config_011,5,UKCHLL035,100,,50,sqrt,0.08668651249378168,0.9239110311287533,0.9675492692391018,0.6593822709538789
config_011,5,UKCHLL041,100,,50,sqrt,0.13373258589732492,0.9427477543807982,0.9611481980114918,0.679209512763205
config_012,1,UKCHLL001,100,,50,all,0.06469507417414497,0.9358715480097274,0.977658378344508,0.65940833350946
config_012,1,UKCHLL002,100,,50,all,0.04599751161300184,0.9254875367322195,0.9687330718873373,0.6467393734108529
config_012,1,UKCHLL042,100,,50,all,0.09204097983535134,0.905898946549031,0.9275912369922719,0.6418437211255514
config_012,1,UKCHLL045,100,,50,all,0.05878657287577993,0.9026512865451214,0.9722483065884844,0.6445620553364618
config_012,2,UKCHLL011,100,,50,all,0.03942489297256892,0.9380363393110531,0.9671288728291165,0.6481967017042461
config_012,2,UKCHLL017,100,,50,all,0.037973877481709994,0.9261679657314037,0.9732870569307999,0.6458096333813045
config_012,2,UKCHLL031,100,,50,all,0.16085929579172079,0.9266126548982017,0.9699920866635462,0.6858213457844896
config_012,2,UKCHLL037,100,,50,all,0.06500643997682803,0.9132081097519475,0.9666765255642015,0.648297025097659
config_012,3,UKCHLL009,100,,50,all,0.16224047376402598,0.9194258426943758,0.9683810296115429,0.6833491153566481
config_012,3,UKCHLL039,100,,50,all,0.10042841566050117,0.9387366106619072,0.9647991890834966,0.6679880718019683
config_012,3,UKCHLL043,100,,50,all,0.2258047288404545,0.9074878763262192,0.9699470433315683,0.7010798828327474
config_012,3,UKCHLL046,100,,50,all,0.08022006556083504,0.937167215121145,0.9505808294976669,0.6559893700598822
config_012,4,UKCHLL015,100,,50,all,0.08439114850480206,0.9253194964316809,0.9698128127081342,0.6598411525482057
config_012,4,UKCHLL034,100,,50,all,0.13919977616116397,0.9380935992048626,0.9653623803622274,0.6808852519094181
config_012,4,UKCHLL038,100,,50,all,0.10549197936309716,0.8988660571631457,0.973569643395039,0.6593092266404272
config_012,4,UKCHLL048,100,,50,all,0.04621568691490996,0.9250757882592634,0.9512457094143358,0.6408457281961697
config_012,5,UKCHLL021,100,,50,all,0.10826609672674087,0.9338811303277939,0.9631147066171445,0.6684206445572264
